track_id,edge,sigma_used_cm,vehicle_id,class_name,frame,time,lon_m,lat_m,speed_mps,speed_kmph,accel_mps2,jerk_mps3,lat_speed_mps,lat_accel_mps2,raw_lon_m,raw_lat_m,box_w_px,box_h_px,confidence,flag_implausible,direction
10212_0,1,2.0951912688858583,10212,Car,7181,239.3002344105313,-25.478674134741688,1.9955138146810902,-0.378094370030835,-1.3611397321110061,5.9201586285924295,0.0013867442428363574,-0.21900718738104435,0.5301581345008178,-25.50080680847168,2.0107976889948147,41.2750244140625,70.14910888671875,0.3106306493282318,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7182,239.33355849274972,-25.48798662172833,1.9885099706341307,-0.18080968182133517,-0.6509148545568066,5.920209556858748,0.0016698000295735868,-0.20134010765017696,0.5301592853190245,-25.48794937133789,1.9949427032211484,40.727935791015625,69.16456604003906,0.32404471188783646,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7183,239.36688257496814,-25.49072474795254,1.9820948636709812,0.016476834796271156,0.059316605266576165,5.920269917699377,0.0020844914078142554,-0.1836732689542131,0.5301400252054792,-25.4750919342041,1.9790877174474824,40.18084716796875,68.18002319335938,0.3374587744474411,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7184,239.40020665718657,-25.48688844555178,1.9762684702444628,0.21376564491994984,0.7695563217118194,5.9203484843848635,0.0027164859164337135,-0.16600773032190447,0.5300774319572599,-25.462234497070312,1.9632327316738163,39.633758544921875,67.19548034667969,0.35087283700704575,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7185,239.433530739405,-25.47647762673808,1.9710307188697724,0.4110574621650903,1.4798068637943251,5.920450966499426,0.003445321538995036,-0.14834529865669505,0.5299505925503134,-25.449377059936523,1.94737774590015,39.086669921875,66.2109375,0.3642868995666504,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7186,239.46685482162343,-25.459492177633525,1.9663814675011604,0.60835311104437,2.190071199759732,5.920578108741332,0.004110138450171582,-0.130688354725019,0.5297470918646099,-25.428672790527344,1.9509378774227764,39.5478515625,65.2044677734375,0.4863625466823578,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7187,239.50017890384186,-25.43593195750628,1.9623204902644782,0.8056533467822155,2.9003520484159755,5.920724899682711,0.004554671994374871,-0.11303947401015199,0.5294677885945736,-25.45368003845215,1.9552895829365309,41.118408203125,64.313232421875,0.4076497554779053,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7188,239.53350298606028,-25.40579680430385,1.9588474780307155,1.0029586668556825,3.610651200680457,5.920881669269369,0.004725779058345526,-0.09540102231912748,0.5291235118738307,-25.397417068481445,1.9678770641033856,42.210693359375,64.975341796875,0.4211584031581878,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7189,239.5668270682787,-25.36908654469204,1.9559620498933978,1.200269258536794,4.320969330732458,5.921039864182484,0.00462397950934875,-0.07777492054467688,0.5287288152782401,-25.354050636291504,1.954358569869422,41.45123291015625,64.33404541015625,0.41151881217956543,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7190,239.60015115049714,-25.325801003879295,1.9536637685742309,1.3975850156297474,5.03130605626709,5.921189849016061,0.004188957421720055,-0.06016264910187119,0.5282952885901306,-25.31068420410156,1.9408400756354585,40.6917724609375,63.6927490234375,0.401879221200943,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7191,239.63347523271557,-25.27594001647173,1.9519521537738462,1.5949054638684246,5.741659669926329,5.921319050505546,0.003371385060102356,-0.04256530347808525,0.5278356223972285,-25.34148597717285,1.9330109085856004,40.0770263671875,62.38922119140625,0.3585813641548157,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7192,239.666799314934,-25.219503440292588,1.9508266969023813,1.7922296805863387,6.452026850110819,5.921414545641927,0.002317516675867574,-0.024983442754312413,0.5273702542584711,-25.259904861450195,1.9537497213849864,41.7672119140625,64.4417724609375,0.3021189570426941,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7193,239.70012339715242,-25.15649116952386,1.9502868840045815,1.9895564644654045,7.162403272075456,5.921473508738044,0.0013075452464690307,-0.007416776878874737,0.5269288596778456,-25.17352549235026,1.9603332799969897,42.398844401041664,64.0545654296875,0.3153464098771413,1,with_flow
10212_0,0,2.0951912688858583,10212,Car,7194,239.73344747937085,-25.086903138124732,1.9503322276609392,2.1868846771307444,7.87278483767068,5.921501691132522,0.0005274920957014834,0.010135994125107184,0.5265408125118798,-25.087146123250324,1.966916838608993,43.030476888020836,63.6673583984375,0.3285738627115885,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7195,239.76677156158928,-25.010739313891147,1.9509622990959172,2.3842134472818413,8.583168410214629,5.921508665117978,3.892137453391928e-05,0.027677054108737553,0.526229049466473,-25.00076675415039,1.9735003972209963,43.662109375,63.2801513671875,0.3418013155460357,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7196,239.8000956438077,-24.927999688153307,1.9521767532575474,2.581542235210747,9.29355204675869,5.921504285170692,-0.00018208665678067485,0.04520918474671104,0.5260058396734362,-24.914226531982425,1.9776498628535573,45.778076171875,65.5494384765625,0.3395274877548218,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7197,239.83341972602614,-24.838684265031876,1.953975342100333,2.7788708024379076,10.003934888776469,5.921496529376535,-0.0002070997830697329,0.06273534700310088,0.5258691950941283,-24.821372985839847,1.9670375024913251,46.9180908203125,65.48255920410156,0.3264085575938225,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7198,239.86674380824456,-24.74279305266448,1.9563579122756163,2.9761991302825277,10.7143168690171,5.921490482350295,-0.00013080697296306558,0.08025818003402946,0.5258023008603186,-24.728519439697266,1.9564251421290932,48.05810546875,65.41567993164062,0.3132896274328232,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7199,239.900067890463,-24.640326057615976,1.9593243871134944,3.1735273127099357,11.424698325755768,5.921487811331891,-4.6152456086442276e-05,0.0977796000607708,0.5257799535566843,-24.635665893554688,1.9458127817668611,49.1981201171875,65.34880065917969,0.3001706972718239,1,with_flow
10212_0,1,2.0951912688858583,10212,Car,7200,239.93339197268142,-24.531283282967724,1.9628747394126547,3.3708554492690364,12.13507961736853,5.921487406373813,2.184822614026416e-05,0.11530065987456613,0.5257769692352914,-24.54281234741211,1.935200421404629,50.338134765625,65.28192138671875,0.2870517671108246,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8791,292.9520067822003,1.320993776720476,2.1399963064843033,5.560815150535395,20.018934541927422,-8.099964869892391,-0.002187463755788599,0.9710482468172102,-4.800162428891283,1.1043390035629272,2.1333997626561145,79.4454345703125,144.9801025390625,0.535726010799408,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8792,292.98533086441876,1.5018053425875482,2.169690313882457,5.290890150780253,19.047204542808913,-8.10002970414583,-0.001703671370735065,0.8110865834111345,-4.800201131230271,1.862536191940308,2.0609503410763668,79.1793212890625,136.347412109375,0.3917060792446136,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8793,293.0186549466372,1.6736218719744496,2.194053725954234,5.020963225856379,18.075467613082964,-8.100078416462054,-0.0011111764621089795,0.6511238420105395,-4.800219840704295,1.551546573638916,2.2044782107254544,81.7464599609375,155.0052490234375,0.5243093967437744,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8794,293.0519790288556,1.8364433113158674,2.213086528510255,4.751035049412482,17.103726177884937,-8.100103762017396,-0.00028926396489071496,0.4911617009471978,-4.800152514146452,1.862536191940308,2.258105131081828,84.1873779296875,160.70849609375,0.4641400873661041,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8795,293.08530311107404,1.9902696332535088,2.2267888027858747,4.481106527869087,16.13198350032871,-8.100097695374352,0.0007702143465213834,0.33120421708807446,-4.799930733444281,2.0406177043914795,2.2701838192844166,87.6129150390625,162.9290771484375,0.6914965510368347,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8796,293.11862719329247,2.135100845252132,2.23516079905823,4.211178842795307,15.160243834063104,-8.100052428644977,0.0020239059873496425,0.17125733663363574,-4.79951130295353,2.2411969900131226,2.282887499681255,90.40692138671875,164.673828125,0.6185340583324432,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8797,293.1519512755109,2.2709369980736187,2.23820298445946,3.9412533966915553,14.1885122280896,-8.099962805755302,0.0033559022786185146,0.01132796914225398,-4.798879746816064,2.4417762756347656,2.2955911800780937,93.200927734375,166.4185791015625,0.5455715656280518,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8798,293.1852753577293,2.397778191268409,2.2359160587964455,3.6713316869347885,13.21679407296524,-8.099828763918078,0.004585216773406494,-0.1485770049668182,-4.7980530442127325,2.491658926010132,2.262257789975671,93.6058349609375,162.8048095703125,0.4800161123275757,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8799,293.21859943994775,2.515624573027622,2.2283009353926873,3.401415096071499,12.245094345857396,-8.09965720947381,0.005536814183591293,-0.3084518358450195,-4.797080915990627,2.564561128616333,2.244100196712573,92.6961669921875,160.32861328125,0.5912807583808899,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8800,293.2519235221662,2.6244763327746394,2.2153586873660136,3.1315046902324752,11.27341688483691,-8.099459745415913,0.006097329226373187,-0.46829278873304464,-4.796032337804077,2.697218179702759,2.2211924498890867,93.4481201171875,160.0234375,0.8071478605270386,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8801,293.2852476043846,2.7243336884608285,2.1970904717820563,2.8616010998642527,10.30176395951131,-8.099250833672905,0.006185886149735773,-0.6280986172104503,-4.794986570016532,2.7052690982818604,2.1684440311920734,94.9349365234375,154.4622802734375,0.8293124437332153,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8802,293.31857168660304,2.8151968704821395,2.1734974423829962,2.591704426836925,9.33013593661293,-8.099047467458618,0.005778440642511802,-0.7878707749099048,-4.794024003974253,2.70099139213562,2.1178826416664247,93.404052734375,149.2935791015625,0.8559043407440186,1,with_flow
12098_2,0,4.420841383377495,12098,Rickshaw,8803,293.35189576882146,2.8970661031612153,2.1445806621862054,2.321814209924903,8.35853115572965,-8.098865711210774,0.004956261965242576,-0.9476131543045785,-4.7932073061651845,2.8041422367095947,2.107968274999417,92.075439453125,149.3299560546875,0.7772983908653259,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8804,293.3852198510399,2.9699415872722534,2.110341035277943,2.051929522489123,7.386946280960843,-8.098717141696167,0.0038585468782518415,-1.107331226359105,-4.792568116366413,2.8487706184387207,2.0861657513863148,93.553466796875,145.564453125,0.7560796141624451,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8805,293.4185439332583,3.033823487164521,2.0707792708543313,1.782049131450919,6.415376873223309,-8.098608546143945,0.0026428264599571926,-1.2670310816548642,-4.792113677302611,2.887739419937134,2.0338941930407475,93.8797607421875,142.2510986328125,0.6567029356956482,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8806,293.45186801547675,3.088711923325781,2.0258958745449243,1.5121716691933706,5.443818009096135,-8.098541002163685,0.0015020746289743597,-1.4267187465645688,-4.791832877955575,2.887739419937134,1.997604907411616,96.68890380859376,141.601318359375,0.7235572934150696,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8807,293.4851920976952,3.1346069713093305,1.9756911612343135,1.242295846106504,4.472265045983415,-8.098508435627076,0.0006501038269995503,-1.5863995215245479,-4.791693039156282,3.1848530769348145,1.9739861277426705,103.55462646484376,140.43310546875,0.7043752670288086,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8808,293.5185161799136,3.1715086685724985,1.920165290857417,0.9724207061744645,3.5007145422280725,-8.098497673936922,0.00018305701455030435,-1.7460773136924874,-4.791645117009057,3.259044885635376,1.941690902363708,107.0267333984375,137.586181640625,0.6922932267189026,1,with_flow
12098_2,1,4.420841383377495,12098,Rickshaw,8809,293.55184026213203,3.1994170282320624,1.8593183213984006,0.7025457398005612,2.5291646632820206,-8.09849623521307,-9.6709619072044e-05,-1.9057543267181207,-4.791638602596877,3.381774663925171,1.9197280060728863,106.3861083984375,135.9298095703125,0.7432306408882141,1,with_flow
12529,1,2.7382897801574595,12529,Truck,8954,298.3838321838041,-22.84577881643665,1.9432852629768902,-3.3744816350021924,-12.148133886007892,5.8960487282892515,-0.0004887977280532141,-1.2653670701706488,1.1307473065922415,-23.58794212341309,1.7252704574302926,60.457275390625,105.5439453125,0.5121495723724365,1,with_flow
12529,1,2.7382897801574595,12529,Truck,8955,298.4171562660225,-22.954956544344967,1.9017459153719807,-3.1780001444805954,-11.440800520130145,5.896128840287996,0.005296852048597838,-1.227685403318622,1.1308039227382685,-23.37918472290039,1.728949981444185,59.9149169921875,108.11773681640624,0.5337684154510498,1,with_flow
12529,1,2.7382897801574595,12529,Truck,8956,298.45048034824094,-23.057586636346883,1.8614623464287632,-2.981513353095605,-10.733448071144178,5.896401753755584,0.014629197702409568,-1.1899977714295011,1.1311616453268543,-23.525449752807617,1.769159172700382,61.004150390625,111.80633544921876,0.6006965041160583,1,with_flow
12529,1,2.7382897801574595,12529,Truck,8957,298.4838044304594,-23.153668767531766,1.8224349893684462,-2.7850110501602012,-10.026039780576724,5.897103849462045,0.031815534877442944,-1.1522879596160642,1.132205718551348,-23.323118209838867,1.8079965034291507,63.6055908203125,115.05615234375,0.7131316065788269,1,with_flow
